Name,Fresh,Marine,Salty,Mineral,Spicy,Relaxing,Free-Spirited,Citrus,Juicy,Floral,Joyful,Confident,Green,Aromatic,Woody,Stylish,Fruity,Musky,Elegant,Romantic,Sweet,,
Ocean Odyssey,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bergamot Blast,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,
Sage Supreme,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,,
Rose Ritual,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,
Amber Affair,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,,
Sleek Sandalwood,,,,,,,,,,,,,,,1,,,,,,,,
Vanilla Venus,,,,,,,,,,,,,,,,,,,,,,,
Mimosa Mantra,,,,,,,,,,,,,,,,,,,,,,,
Terrific Tonka,,,,,,,,,,,,,,,,,,,,,,,
Jazzy Jasmine,,,,,,,,,,,,,,,,,,,,,,,
Tea Time,,,,,,,,,,,,,,,,,,,,,,,
Lavender Legend,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Chara1,Chara2,Chara3,Chara4,Chara5,Chara6,Chara7,Chara8
,,,,,,,,,,,,,,,Ocean Odyssey,Fresh,Marine,Salty,Mineral,Liberating,Relaxing,Free-Spirited,
,,,,,,,,,,,,,,,Bergamot Blast,Fresh,Citrus,Juicy,Floral,Optimistic,Joyful,Confident,
,,,,,,,,,,,,,,,Sage Supreme,Fresh,Green,Aromatic,Woody,Confident,Stylish,,
,,,,,,,,,,,,,,,Rose Ritual,Fresh,Fruity,Floral,Musky,Elegant,Charming,Romantic,
,,,,,,,,,,,,,,,Amber Affair,Spicy,Resinous,Ambery,Vanilla,Magnetic,Glamorours,Hypnotic,
,,,,,,,,,,,,,,,Sleek Sandalwood,Woody,Suave,Warm,Musky,Sensuous,Voluptous,Chic,
,,,,,,,,,,,,,,,Vanilla Venus,Sweet,Spicy,Warm,Leathery,Attractive,Addictive,Aphrodisiac,
,,,,,,,,,,,,,,,Mimosa Mantra,Floral,Marine,Powdery,Musky,Radiant,Optimistic,Sunny,
,,,,,,,,,,,,,,,Terrific Tonka,Nutty,Woody,Powdery,Gourmand,Addictive,Lovely,Comforting,
,,,,,,,,,,,,,,,Jazzy Jasmine,Fruity,Green,Floral,Musky,Alluring,Bright,Gracious,
,,,,,,,,,,,,,,,Tea Time,Fresh,Citrus,Floral,Musky,Natural,Authentic,Balanced,Green
,,,,,,,,,,,,,,,Lavender Legend,Fresh,Aromatic,Floral,Woody,Calming,Peaceful,Assured,
